DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status,Status Desc,Crm Cd 1,LOCATION,LAT,LON
202017372,11/19/2020 12:00:00 AM,11/19/2020 12:00:00 AM,1920,20,Olympic,2041,1,210,ROBBERY,1822 0340 1300 0334 0432 0337 0355 0344 0420 0326,27,F,K,102.0,SIDEWALK,IC,Invest Cont,210.0,1000    3RD                          AV,34.0509,-118.3184
201209940,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,125,12,77th Street,1208,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 1814 2000,44,F,H,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,626.0,500 W  47TH                         ST,34.0007,-118.2827
200918037,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,2325,9,Van Nuys,966,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0325 0444,0,X,X,403.0,DRUG STORE,IC,Invest Cont,740.0,13300    RIVERSIDE                    DR,34.1576,-118.4231
230415671,12/23/2023 12:00:00 AM,12/23/2023 12:00:00 AM,1718,4,Hollenbeck,465,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,41,M,H,123.0,PARKING UNDERGROUND/BUILDING,AO,Adult Other,740.0,500 S  GRANDE VISTA                 AV,34.0339,-118.2013
240704321,01/09/2024 12:00:00 AM,01/09/2024 12:00:00 AM,215,7,Wilshire,773,2,624,BATTERY - SIMPLE ASSAULT,0416 0562 0913,48,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,624.0,1700    HAUSER                       BL,34.044,-118.3586
211915022,10/31/2021 12:00:00 AM,10/31/2021 12:00:00 AM,1400,19,Mission,1988,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0408 0444,28,F,H,501.0,SINGLE FAMILY DWELLING,AO,Adult Other,626.0,13500    RELIANCE                     ST,34.2267,-118.4268
222010356,05/25/2022 12:00:00 AM,05/25/2022 12:00:00 AM,2030,20,Olympic,2039,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0319 0432 0445 0554 0913 0602 1251,17,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,230.0,2700 W  8TH                          ST,34.0598,-118.2865
231218363,08/25/2023 12:00:00 AM,07/12/2023 12:00:00 AM,2300,12,77th Street,1256,2,813,CHILD ANNOYING (17YRS & UNDER),1251 0913 1259,15,F,B,501.0,SINGLE FAMILY DWELLING,IC,Invest Cont,813.0,500 W  75TH                         ST,33.9717,-118.2827
240214862,09/16/2024 12:00:00 AM,09/16/2024 12:00:00 AM,900,2,Rampart,246,2,888,TRESPASSING,1501 1822 0910,23,X,X,904.0,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,IC,Invest Cont,888.0,600 S  ALVARADO                     ST,34.0595,-118.2749
220508078,04/16/2022 12:00:00 AM,04/16/2022 12:00:00 AM,1330,5,Harbor,519,1,761,BRANDISH WEAPON,0334 1218 1300 1822 0919 0447,33,M,B,108.0,PARKING LOT,AO,Adult Other,761.0,WATSON                       AV,33.7917,-118.2482
